course_name,name,section,overall_grade,grade,difficulty,useful,comments,time
GESB1001,KUOK OI MEI,8,C-,C-,C,D+,38,MON 13:00-14:15 & THU 13:00-14:15
GESB1001,KUOK OI MEI,9,C-,C-,C,D+,38,MON 13:00-14:15 & THU 13:00-14:15
GESB1001,KUOK OI MEI,10,C-,C-,C,D+,38,FRI 14:30-15:45 & TUE 14:30-15:45
GESB1001,KUOK OI MEI,11,C-,C-,C,D+,38,FRI 14:30-15:45 & TUE 14:30-15:45
GESB1001,KUOK OI MEI,12,C-,C-,C,D+,38,FRI 14:30-15:45 & TUE 14:30-15:45
GESB2002,ZHANG LIWEN,1,C-,D+,D+,C-,11,MON 10:00-11:15 & THU 10:00-11:15
GEGA1000,WEN RUJIA,2,D+,C-,D+,C-,279,FRI 14:30-15:45 & TUE 14:30-15:45
GEGA1000,WEN RUJIA,3,D+,C-,D+,C-,279,FRI 16:00-17:15 & TUE 16:00-17:15
GEGA1000,WEN RUJIA,4,D+,C-,D+,C-,279,MON 16:00-17:15 & THU 16:00-17:15
GELH2008,LEI WAI SENG,1,D+,C-,D,D+,16,MON 10:00-11:15 & THU 10:00-11:15
GESB1001,LEUNG KHALILIAN ROSE,13,D+,D+,D+,D+,447,MON 14:30-15:45 & THU 14:30-15:45
GESB1001,LEUNG KHALILIAN ROSE,14,D+,D+,D+,D+,447,MON 14:30-15:45 & THU 14:30-15:45
GESB1001,LEUNG KHALILIAN ROSE,15,D+,D+,D+,D+,447,MON 14:30-15:45 & THU 14:30-15:45
GESB1001,LEUNG KHALILIAN ROSE,16,D+,D+,D+,D+,447,FRI 16:00-17:15 & TUE 16:00-17:15
GESB1001,LEUNG KHALILIAN ROSE,17,D+,D+,D+,D+,447,FRI 16:00-17:15 & TUE 16:00-17:15
GESB1001,LEUNG KHALILIAN ROSE,18,D+,D+,D+,D+,447,FRI 16:00-17:15 & TUE 16:00-17:15
GESB1013,LEUNG SHING ON,1,D+,D+,C,D-,34,FRI 11:30-12:45 & TUE 11:30-12:45
GEST1008,WAN IAT MENG,1,D+,C-,D,C-,28,FRI 08:30-09:45 & TUE 08:30-09:45
GELH1000,CHEN ZHONG,9,D,D,D+,D,42,FRI 16:00-17:15 & TUE 16:00-17:15
GESB1009,CHANG SIO NGA,1,D,D,D,D-,82,MON 08:30-09:45 & THU 08:30-09:45
GESB2004,CAROL TING,1,D,D,C,D,1,FRI 16:00-17:15 & TUE 16:00-17:15
