course_name,name,section,overall_grade,grade,difficulty,useful,comments,time
GEGA1006,SUN PENGZHAN,2,B,B+,B+,B,12,MON 16:00-17:15 & THU 16:00-17:15
GELH2004,WEATHERLY CHRISTOPHER ALAN,1,B,B-,B-,B-,5,TUE 19:00-21:45
GESB1003,KONG WA,7,B,A-,A-,B+,23,MON 13:00-14:15 & THU 13:00-14:15
GESB1003,KONG WA,8,B,A-,A-,B+,23,MON 13:00-14:15 & THU 13:00-14:15
GESB1003,KONG WA,9,B,A-,A-,B+,23,MON 13:00-14:15 & THU 13:00-14:15
GEST1004,KOU KIT IAN,2,B,A,C,A,1,MON 10:00-11:15 & THU 10:00-11:15 & WED 10:00-10:50
GEST1006,WU IOK KUAN,1,B,B+,B+,B,15,MON 16:00-17:15 & THU 16:00-17:15
GEST1006,WU IOK KUAN,2,B,B+,B+,B,15,FRI 16:00-17:15 & TUE 16:00-17:15
GEST1016,SUN GUOXING,1,B,B+,B,B,66,MON 16:00-17:15 & THU 16:00-17:15
GEST1017,CHEANG WAI SAN / LU JIAHONG / UNG OI LAM CAROLINA,1,B,A-,A-,B+,7,MON 14:30-15:45 & THU 14:30-15:45
GPAD4015,LAM KA IAN,1,B,A,C,A,1,WED 10:00-12:45
HIST1000,SHEYLA SCHUVARTZ ZANDONAI,1,B,A,D,C,1,FRI 14:30-17:15
HSCI1001,ZHANG XUANJUN,1,B,A,B,B,8,THU 14:00-17:45
HSCI1001,ZHANG XUANJUN,2,B,A,B,B,8,WED 09:00-12:45
HSCI2002,CHEN QIANG,1,B,B,A,C,1,FRI 17:30-18:45 & TUE 17:30-18:45
IRTM4001,HOU YUANSI,2,B,A-,A,A-,1,WED 10:00-12:45
JAPN1005,LIDIA SUJADI,1,B,A,A,A,1,FRI 10:00-11:15 & TUE 10:00-11:15
JAPN1005,MIHO ANDO,2,B,B+,B+,A,3,MON 14:30-15:45 & THU 14:30-15:45
JAPN2002,KUMIKO KIMURA,1,B,A,A,D,1,FRI 14:30-15:45 & TUE 14:30-15:45
JAPN4018,YANG WENJIANG,1,B,A,A,C,1,FRI 17:30-18:45 & TUE 17:30-18:45
LAWS1000,AO CHI TAN,101,B,A,B-,A-,6,
LAWS1000,HO WAI NENG,1,B,B-,B-,B,2,
LAWS1000,TOU WAI FONG,301,B,D-,C-,A,2,
LAWS2000,NG KEI KEI,1,B,A-,A-,A,5,
LAWS2000,NG KEI KEI,301,B,A-,A-,A,5,
LAWS3004,LEE KIN KEI,1,B,A-,A-,C-,2,
LAWS3004,LEE KIN KEI,101,B,A-,A-,C-,2,
MATH3011,JIN XIAO QING,1,B,B,B-,B+,8,MON 17:30-18:45 & THU 17:30-18:45 & WED 11:00-11:50
MGMT1000,KRAIVIN PARIPONT CHINTAKANANDA,4,B,A-,B,B+,30,MON 13:00-14:15 & THU 13:00-14:15
MGMT1000,KRAIVIN PARIPONT CHINTAKANANDA,5,B,A-,B,B+,30,MON 14:30-15:45 & THU 14:30-15:45
MGMT3001,MAK KA YEE,1,B,A,B,B,7,MON 16:00-17:15 & THU 16:00-17:15
MGMT3001,MAK KA YEE,2,B,A,B,B,7,FRI 14:30-15:45 & TUE 14:30-15:45
MGMT4009,LAI YUEN MAN,1,B,A-,B-,C+,3,TUE 10:00-12:45
MKTG2000,MAC VAI IUN,1,B,B+,B,B,32,MON 10:00-11:15 & THU 10:00-11:15
PHIL1016,HANS GEORG MOELLER,1,B,B+,B-,B,3,THU 16:00-18:45
PSYC3002,CHEUNG SHU FAI,1,B,A-,B,A-,2,MON 16:00-17:15 & THU 16:00-17:15
SOCY1000,WANG HONGYU,1,B,A-,B,A,41,TUE 08:30-11:15
SOCY3005,WANG HONGYU,1,B,B,B-,A,2,FRI 11:30-12:45 & TUE 11:30-12:45
ACCT1000,TCHIANG VAN KAM,1,B-,B,C+,B,67,MON 08:30-09:45 & THU 08:30-09:45
ACCT1000,TCHIANG VAN KAM,7,B-,B,C+,B,67,MON 10:00-11:15 & THU 10:00-11:15
APAC2001,CHEN BINMENG,1,B-,B,B+,C+,5,FRI 14:30-15:45 & FRI 16:00-17:15 & TUE 14:30-15:45
CHLL1003,GONG GANG,1,B-,B,B-,B,11,FRI 10:00-11:15 & TUE 10:00-11:15
CHLL2004,IP KUAI CHAN,1,B-,B,B+,B,10,FRI 16:00-17:15 & TUE 16:00-17:15
CHLL3000,SIO CHIO IEONG,1,B-,B,B+,C,5,FRI 10:00-11:15 & TUE 10:00-11:15
